0,1,2,3,4,5,6,7,8,9
"(1, 18)","(0, 30)","(4, 9)","(4, 12)","(4, 13)","(8, 5)","(0, 28)","(0, 20)","(0, 24)","(4, 20)"
"(15, 2)","(9, 5)","(5, 9)","(12, 5)","(25, 5)","(13, 5)","(22, 5)","(9, 8)","(2, 16)","(2, 18)"
"(15, 3)","(9, 6)","(12, 6)","(5, 10)","(25, 6)","(13, 6)","(2, 17)","(22, 6)","(15, 10)","(18, 3)"
"(16, 2)","(11, 5)","(17, 5)","(21, 5)","(7, 9)","(19, 5)","(6, 5)","(11, 8)","(32, 5)","(14, 2)"
"(16, 3)","(11, 6)","(17, 6)","(21, 6)","(7, 10)","(19, 6)","(6, 6)","(32, 6)","(14, 3)","(36, 6)"
"(17, 2)","(10, 5)","(6, 9)","(16, 5)","(23, 5)","(10, 8)","(3, 16)","(3, 18)","(27, 5)","(6, 12)"
"(17, 3)","(10, 6)","(6, 10)","(16, 6)","(3, 17)","(23, 6)","(27, 6)","(17, 10)","(7, 6)","(19, 3)"
"(27, 0)","(19, 1)","(17, 1)","(21, 1)","(36, 1)","(29, 0)","(14, 4)","(43, 1)","(16, 4)","(40, 1)"
"(0, 28)","(1, 18)","(1, 42)","(0, 30)","(4, 12)","(1, 39)","(4, 9)","(4, 13)","(1, 26)","(8, 8)"
"(0, 29)","(1, 19)","(1, 41)","(1, 37)","(1, 43)","(0, 27)","(1, 32)","(4, 10)","(1, 58)","(1, 17)"
"(5, 9)","(9, 5)","(15, 2)","(2, 18)","(2, 16)","(9, 8)","(2, 8)","(9, 18)","(2, 5)","(18, 2)"
"(6, 9)","(10, 5)","(17, 2)","(3, 18)","(3, 16)","(10, 8)","(3, 8)","(10, 18)","(3, 5)","(10, 16)"
"(4, 12)","(8, 8)","(12, 4)","(1, 21)","(1, 18)","(1, 16)","(18, 1)","(8, 5)","(0, 30)","(8, 16)"
"(28, 0)","(39, 1)","(41, 1)","(20, 1)","(15, 1)","(4, 12)","(26, 1)","(35, 1)","(8, 8)","(56, 1)"
"(29, 0)","(19, 1)","(27, 0)","(40, 1)","(36, 1)","(17, 1)","(21, 1)","(14, 4)","(57, 1)","(16, 4)"
"(5, 10)","(9, 6)","(15, 3)","(2, 17)","(2, 19)","(9, 17)","(18, 3)","(2, 6)","(8, 10)","(9, 11)"
"(6, 10)","(10, 6)","(17, 3)","(3, 17)","(3, 19)","(10, 17)","(3, 6)","(10, 11)","(3, 22)","(3, 11)"
"(1, 19)","(0, 27)","(4, 14)","(4, 15)","(4, 10)","(0, 31)","(4, 23)","(0, 23)","(0, 29)","(4, 27)"
"(0, 30)","(1, 18)","(1, 33)","(1, 21)","(8, 8)","(12, 4)","(4, 12)","(4, 13)","(18, 1)","(1, 34)"
"(18, 1)","(12, 4)","(4, 12)","(8, 8)","(1, 21)","(30, 0)","(13, 4)","(9, 4)","(20, 1)","(15, 1)"
"(5, 11)","(9, 7)","(2, 15)","(2, 14)","(2, 23)","(9, 10)","(9, 15)","(12, 7)","(2, 7)","(9, 14)"
"(6, 11)","(10, 7)","(3, 15)","(3, 14)","(3, 23)","(10, 10)","(10, 15)","(3, 7)","(10, 14)","(3, 10)"
