0,1,2,3,4,5,6,7,8,9
"(1, 17)","(0, 25)","(3, 10)","(3, 12)","(3, 18)","(0, 18)","(5, 8)","(0, 22)","(0, 23)","(1, 21)"
"(3, 11)","(1, 18)","(5, 9)","(5, 10)","(5, 12)","(0, 24)","(3, 13)","(1, 12)","(1, 10)","(1, 19)"
"(0, 25)","(1, 17)","(3, 12)","(1, 20)","(1, 26)","(1, 24)","(3, 10)","(1, 21)","(5, 8)","(3, 18)"
"(3, 12)","(5, 7)","(5, 8)","(1, 17)","(1, 21)","(7, 5)","(5, 13)","(1, 13)","(5, 11)","(0, 25)"
"(0, 26)","(1, 19)","(1, 25)","(1, 22)","(1, 18)","(1, 23)","(3, 11)","(1, 30)","(1, 15)","(3, 20)"
"(8, 5)","(11, 3)","(10, 3)","(7, 5)","(5, 8)","(5, 7)","(17, 1)","(3, 12)","(14, 1)","(12, 5)"
"(14, 2)","(9, 4)","(11, 4)","(10, 4)","(9, 5)","(15, 4)","(12, 3)","(23, 4)","(6, 7)","(22, 4)"
"(1, 18)","(3, 13)","(5, 9)","(3, 11)","(0, 24)","(1, 19)","(3, 17)","(5, 12)","(6, 7)","(5, 10)"
"(5, 8)","(3, 12)","(3, 10)","(8, 5)","(7, 5)","(1, 21)","(7, 10)","(3, 9)","(7, 9)","(11, 3)"
"(11, 3)","(8, 5)","(7, 5)","(14, 1)","(10, 3)","(12, 5)","(12, 1)","(13, 1)","(13, 5)","(21, 1)"
"(5, 9)","(12, 3)","(9, 5)","(6, 7)","(7, 6)","(1, 18)","(3, 11)","(4, 10)","(3, 14)","(3, 13)"
"(12, 3)","(5, 9)","(1, 18)","(9, 5)","(3, 13)","(3, 11)","(6, 7)","(3, 14)","(7, 7)","(7, 6)"
"(3, 13)","(1, 18)","(12, 3)","(5, 9)","(4, 10)","(3, 11)","(5, 12)","(0, 24)","(1, 19)","(5, 10)"
"(15, 2)","(13, 4)","(14, 4)","(12, 4)","(7, 4)","(5, 8)","(17, 4)","(26, 4)","(7, 5)","(29, 4)"
"(4, 10)","(9, 5)","(5, 9)","(6, 7)","(12, 3)","(2, 17)","(6, 6)","(7, 6)","(3, 13)","(6, 8)"
"(1, 19)","(0, 26)","(3, 20)","(3, 13)","(0, 20)","(5, 9)","(3, 14)","(4, 10)","(0, 24)","(3, 17)"
"(1, 20)","(3, 19)","(0, 25)","(0, 19)","(1, 21)","(3, 15)","(3, 9)","(3, 18)","(0, 30)","(0, 27)"
"(9, 5)","(4, 10)","(12, 3)","(6, 7)","(7, 6)","(5, 9)","(7, 7)","(14, 3)","(2, 17)","(1, 19)"
"(17, 1)","(10, 3)","(25, 0)","(18, 3)","(20, 0)","(20, 3)","(11, 3)","(18, 0)","(23, 0)","(15, 3)"
"(1, 21)","(3, 12)","(3, 18)","(0, 25)","(3, 19)","(0, 18)","(1, 20)","(0, 27)","(0, 19)","(0, 22)"
"(2, 16)","(4, 10)","(6, 7)","(4, 23)","(9, 5)","(4, 22)","(2, 17)","(7, 6)","(5, 9)","(13, 3)"
"(6, 7)","(7, 6)","(13, 3)","(9, 5)","(4, 12)","(5, 9)","(10, 5)","(4, 10)","(4, 9)","(10, 4)"
"(13, 3)","(6, 7)","(7, 6)","(18, 1)","(20, 1)","(9, 5)","(24, 0)","(12, 3)","(15, 1)","(11, 5)"
"(24, 0)","(18, 1)","(20, 1)","(13, 3)","(26, 0)","(25, 1)","(17, 3)","(23, 1)","(7, 6)","(12, 3)"
